School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Academy with Community Partners,Mesa,85203,0,0,0,1,4,1,169,13,7.69,92,54.44,10,10.0,42,24.85,10,10.0,10,10.0,0,0.0,2.81,4.36,27.14,31.9,83.58,0.0,79.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Accelerated Learning Center,Phoenix,85028,0,0,0,1,5,0,153,10,10.0,27,17.65,10,10.0,111,72.55,10,10.0,0,0.0,0,0.0,5.36,9.78,4.07,35.0,79.5,0.0,171.0,0.0,0.0, 361.34, 7245.17, 47.33, 2374.60, 10028.44,1,1,1,1,1
Agua Fria High School,Avondale,85323,0,0,0,1,4,1,1653,177,10.71,1185,71.69,10,10.0,201,12.16,39,2.36,31,1.88,10,10.0,13.62,10.0,2.97,16.5,98.69,597.0,781.0,48.0,6.0, 1015.26, 8781.97, 133.17, 884.04, 10814.43,1,1,1,1,1
Alhambra High School,Phoenix,85019,0,0,0,1,3,1,2283,235,10.29,1838,80.51,28,1.23,74,3.24,10,10.0,95,4.16,10,10.0,6.62,9.07,7.63,14.4,96.6,223.0,973.0,21.0,0.0, 750.23, 8190.89, 73.03, 183.81, 9197.96,1,1,1,1,1
Apollo High School,Glendale,85302,0,0,0,1,4,1,2198,176,8.01,1582,71.97,10,10.0,268,12.19,58,2.64,88,4.0,10,10.0,15.94,10.0,0.67,20.0,98.75,256.0,847.0,47.0,0.0, 1084.03, 7182.71, 175.34, 783.21, 9225.29,0,0,0,0,0
Arcadia High School,Phoenix,85018,0,0,0,1,5,0,1603,76,4.74,582,36.31,10,10.0,841,52.46,34,2.12,36,2.25,10,10.0,23.09,10.0,1.54,19.8,98.46,329.0,457.0,34.0,0.0, 109.52, 5821.24, 121.39, 487.77, 6539.92,0,0,0,0,0
Arizona Agribusiness & Equine Center - Estrella,Avondale,85007,0,0,0,1,5,1,412,10,10.0,209,50.73,10,10.0,138,33.49,22,5.34,25,6.07,0,0.0,26.36,10.0,0.22,20.0,99.75,0.0,66.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Arizona Charter Academy,Surprise,85374,1,1,1,0,5,1,978,91,9.3,664,67.89,0,0.0,167,17.08,47,4.81,10,10.0,10,10.0,18.13,8.84,0.0,20.1,99.69,0.0,302.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Arizona Collegiate High School,Phoenix,85017,0,0,0,1,4,1,117,10,10.0,105,89.74,10,10.0,0,0.0,0,0.0,0,0.0,10,10.0,0.29,6.91,20.93,35.0,77.86,0.0,180.0,10.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Arizona Connections Academy,Gilbert,85297,1,1,1,1,4,1,2568,199,7.75,834,32.48,87,3.39,1179,45.91,226,8.8,29,1.13,14,0.55,12.69,7.98,13.63,6.4,99.38,67.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,0,1
Arizona Conservatory for Arts and Academics,Phoenix,85053,0,0,0,1,4,1,173,10,10.0,44,25.43,0,0.0,106,61.27,10,10.0,10,10.0,10,10.0,22.65,10.0,7.17,13.8,99.39,6.0,70.0,0.0,0.0, 3398.77, 7471.35, 118.21, 5044.28, 16032.60,1,1,1,1,1
Arizona Insight Academy,Phoenix,85004,0,0,1,1,4,1,1098,107,9.74,433,39.44,32,2.91,451,41.08,62,5.65,10,10.0,10,10.0,3.63,4.86,11.95,24.6,92.86,0.0,0.0,2.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Arizona Preparatory Academy,Phoenix,85037,0,0,0,1,4,1,1127,90,7.99,586,52.0,73,6.48,349,30.97,16,1.42,13,1.15,0,0.0,0.89,3.43,24.79,35.0,36.27,0.0,128.0,0.0,0.0, 368.64, 2265.10, 244.58, 9654.84, 12533.17,0,0,0,0,0
Arizona Virtual Academy,Phoenix,85004,1,1,1,1,3,1,5110,499,9.77,2045,40.02,161,3.15,1876,36.71,430,8.41,84,1.64,15,0.29,8.81,7.54,8.83,8.6,99.36,3.0,0.0,4.0,1.0, 522.32, 3068.80, 1438.37, 9825.53, 14855.02,1,1,1,1,1
Barry Goldwater High School,Phoenix,85027,0,0,1,1,4,1,1640,129,7.87,704,42.93,43,2.62,621,37.87,77,4.7,51,3.11,15,0.92,15.02,10.0,3.03,18.7,98.8,110.0,855.0,50.0,1.0, 469.71, 5912.69, 163.30, 466.21, 7011.91,1,1,1,1,1
Basha High School,Chandler,85249,1,1,1,1,5,0,2797,133,4.75,489,17.48,10,10.0,1675,59.89,144,5.15,307,10.98,10,10.0,30.0,10.0,1.53,17.1,98.59,901.0,712.0,24.0,1.0, 288.18, 6404.09, 80.45, 767.83, 7540.56,1,1,1,1,1
Benjamin Franklin High School,Queen Creek,85142,0,0,1,1,4,0,1233,31,2.51,208,16.87,10,10.0,895,72.59,60,4.87,32,2.6,10,10.0,19.04,10.0,1.53,17.9,99.92,176.0,131.0,0.0,0.0, 158.27, 4984.99, 48.70, 1027.08, 6219.03,1,1,1,1,1
Betty Fairfax High School,Laveen,85339,0,0,0,1,3,1,1973,408,20.68,1160,58.79,138,6.99,149,7.55,67,3.4,10,10.0,10,10.0,13.08,10.0,4.02,16.1,97.71,71.0,521.0,23.0,1.0, 551.80, 7320.94, 49.79, 321.15, 8243.69,1,1,1,1,1
Bogle Junior High School,Chandler,85248,0,0,1,0,5,0,1141,78,6.84,365,31.99,10,10.0,499,43.73,71,6.22,91,7.97,10,10.0,21.39,8.84,0.0,20.1,99.21,0.0,386.0,38.0,0.0, 170.05, 7350.83, 111.26, 370.30, 8002.45,1,1,1,1,1
Bostrom Alternative Center,Phoenix,85017,0,0,0,1,4,1,289,39,13.49,227,78.55,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,0.75,5.93,14.14,35.0,78.67,0.0,173.0,11.0,0.0, 851.72, 11863.22, 100.40, 353.82, 13169.16,1,1,1,1,1
Boulder Creek High School,Anthem,85086,0,0,1,1,5,0,2375,38,1.6,347,14.61,10,10.0,1832,77.14,105,4.42,37,1.56,10,10.0,22.19,10.0,1.16,19.0,99.05,474.0,850.0,21.0,0.0, 291.35, 4626.31, 35.38, 236.97, 5190.01,1,1,1,1,1
Buckeye Union High School,Buckeye,85326,0,0,0,1,4,1,1778,122,6.86,1164,65.47,28,1.57,421,23.68,26,1.46,10,10.0,10,10.0,13.88,10.0,2.19,16.2,99.71,10.0,657.0,36.0,0.0, 845.02, 5317.80, 9.69, 171.33, 6343.84,1,1,1,1,1
Cactus High School,Glendale,85306,0,0,1,1,5,0,1144,64,5.59,403,35.23,10,10.0,574,50.17,55,4.81,28,2.45,10,10.0,18.62,10.0,3.44,20.0,99.63,254.0,427.0,3.0,2.0, 701.93, 6948.16, 318.48, 1217.54, 9186.11,0,0,0,0,0
Cactus Shadows High School,Scottsdale,85266,0,0,1,1,5,0,1587,13,0.82,212,13.36,10,10.0,1279,80.59,43,2.71,28,1.76,10,10.0,25.07,10.0,1.38,18.5,99.29,523.0,729.0,8.0,1.0, 9636.75, 122302.14, 4217.27, 21696.21, 157852.38,0,0,0,0,0
Camelback High School,Phoenix,85016,0,0,0,1,3,1,2241,243,10.84,1689,75.37,80,3.57,140,6.25,46,2.05,20,0.89,23,1.03,9.21,9.83,3.87,16.0,98.13,189.0,819.0,38.0,6.0, 665.06, 8196.08, 61.47, 282.56, 9205.18,1,1,1,1,1
Campo Verde High School,Gilbert,85297,0,0,1,1,5,0,1986,54,2.72,449,22.61,10,10.0,1294,65.16,95,4.78,60,3.02,10,10.0,24.36,10.0,1.26,19.5,98.99,410.0,643.0,6.0,0.0, 173.77, 6219.76, 14.37, 341.77, 6749.68,1,1,1,1,1
Carl Hayden High School,Phoenix,85009,0,0,0,1,4,1,2218,86,3.88,2080,93.78,13,0.59,28,1.26,10,10.0,0,0.0,10,10.0,8.04,9.22,5.31,13.6,97.06,195.0,929.0,41.0,0.0, 619.18, 8110.09, 59.87, 293.93, 9083.07,1,1,1,1,1
Centennial High School,Peoria,85381,0,0,1,1,5,0,2007,118,5.88,764,38.07,10,10.0,920,45.84,105,5.23,69,3.44,10,10.0,21.47,10.0,1.01,20.0,99.59,444.0,619.0,6.0,0.0, 262.99, 5362.76, 158.53, 844.56, 6628.85,0,0,0,0,0
Central High School,Phoenix,85012,0,0,0,1,4,1,1901,291,15.31,1279,67.28,119,6.26,116,6.1,49,2.58,10,10.0,10,10.0,9.65,9.09,6.12,16.1,96.18,205.0,740.0,29.0,2.0, 685.07, 8327.90, 113.87, 257.26, 9384.11,1,1,1,1,1
Cesar Chavez High School,Laveen,85339,0,0,0,1,3,1,2724,393,14.43,2055,75.44,78,2.86,94,3.45,64,2.35,10,10.0,10,10.0,8.62,10.0,3.19,14.3,97.67,496.0,776.0,26.0,0.0, 504.77, 7093.59, 32.98, 653.81, 8285.15,1,1,1,1,1
Chandler High School,Chandler,85225,0,0,1,1,4,0,3580,369,10.31,2005,56.01,77,2.15,799,22.32,174,4.86,132,3.69,24,0.67,17.95,10.0,3.68,13.3,97.94,838.0,1686.0,45.0,0.0, 372.08, 6227.94, 110.22, 600.53, 7310.77,1,1,1,1,1
Chandler Online Academy,Chandler,85225,1,1,1,1,4,0,433,31,7.16,115,26.56,10,10.0,207,47.81,30,6.93,39,9.01,10,10.0,17.62,9.26,2.33,13.8,98.56,4.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Chaparral High School,Scottsdale,85253,0,0,0,1,5,0,2038,53,2.6,223,10.94,10,10.0,1545,75.81,66,3.24,137,6.72,10,10.0,26.41,10.0,0.47,20.0,99.01,757.0,331.0,26.0,0.0, 97.95, 5613.02, 15.78, 349.18, 6075.93,0,0,0,0,0
Cooley Middle School,Gilbert,85296,0,0,1,0,4,0,874,71,8.12,231,26.43,10,10.0,474,54.23,47,5.38,37,4.23,10,10.0,19.12,8.84,0.0,20.1,99.89,0.0,254.0,12.0,3.0, 530.77, 7145.26, 113.98, 1166.42, 8956.43,1,1,1,1,1
Copper Canyon High School,Glendale,85305,0,0,0,1,4,1,2157,116,5.38,1860,86.23,24,1.11,100,4.64,32,1.48,10,10.0,10,10.0,11.07,10.0,2.95,18.5,97.94,1578.0,1027.0,70.0,0.0, 843.59, 8110.62, 127.45, 884.25, 9965.91,0,0,0,0,0
Cornerstone Charter School,Phoenix,85021,0,0,0,1,4,0,150,21,14.0,106,70.67,10,10.0,15,10.0,10,10.0,0,0.0,0,0.0,2.33,7.26,24.6,31.7,87.05,0.0,174.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Corona Del Sol High School,Tempe,85284,0,0,0,1,5,0,2730,140,5.13,814,29.82,69,2.53,1328,48.65,178,6.52,188,6.89,13,0.48,26.52,10.0,0.84,20.0,98.5,549.0,526.0,48.0,0.0, 156.37, 6452.56, 43.20, 427.59, 7079.71,0,0,0,0,0
Coronado High School,Scottsdale,85257,0,0,0,1,4,1,740,44,5.95,482,65.14,61,8.24,130,17.57,14,1.89,10,10.0,10,10.0,14.55,10.0,2.39,16.8,98.59,83.0,397.0,19.0,0.0, 1016.90, 9089.06, 167.79, 504.99, 10778.74,0,0,0,0,0
Cortez High School,Phoenix,85051,0,0,0,1,5,1,1104,136,12.32,669,60.6,51,4.62,154,13.95,10,10.0,60,5.43,10,10.0,15.3,10.0,1.5,19.6,99.01,127.0,794.0,55.0,0.0, 1616.54, 9666.85, 296.22, 1146.06, 12725.67,0,0,0,0,0
Country Gardens Charter School,Laveen,85339,1,1,1,1,4,1,322,34,10.56,183,56.83,10,10.0,88,27.33,10,10.0,10,10.0,0,0.0,12.5,8.84,11.32,20.0,98.36,0.0,50.0,5.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Crestview College Preparatory High School,Phoenix,85032,0,0,0,1,4,1,246,21,8.54,190,77.24,10,10.0,21,8.54,10,10.0,0,0.0,10,10.0,1.26,5.36,29.88,35.0,87.23,0.0,315.0,1.0,0.0, 1755.96, 3845.01, 1320.03, 3927.02, 10848.02,1,1,1,1,1
Crown Point High School,Phoenix,85033,0,0,0,1,5,0,35,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15.46,3.0,11.29,35.0,65.0,0.0,38.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Deer Valley Academy,Glendale,85308,0,0,0,1,4,0,25,10,10.0,10,10.0,10,10.0,11,44.0,0,0.0,0,0.0,0,0.0,15.46,8.84,20.0,20.1,75.68,0.0,55.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Deer Valley High School,Glendale,85308,0,0,1,1,5,0,1634,103,6.3,525,32.13,10,10.0,867,53.06,86,5.26,34,2.08,10,10.0,17.6,10.0,1.54,17.5,99.02,201.0,574.0,38.0,5.0, 482.86, 5840.16, 63.48, 241.72, 6628.22,1,1,1,1,1
Deer Valley Middle School,Phoenix,85027,0,0,1,0,2,1,538,47,8.74,257,47.77,19,3.53,183,34.02,22,4.09,10,10.0,10,10.0,8.87,8.84,0.0,20.1,100.0,0.0,267.0,38.0,2.0, 813.99, 5497.33, 36.73, 559.21, 6907.25,1,1,1,1,1
Desert Edge High School,Goodyear,85338,0,0,0,1,4,1,1993,264,13.25,1151,57.75,11,0.55,408,20.47,95,4.77,53,2.66,11,0.55,14.81,10.0,2.62,16.0,99.29,535.0,521.0,39.0,7.0, 622.16, 7369.12, 85.19, 1006.65, 9083.12,1,1,1,1,1
Desert Foothills Middle School,Phoenix,85053,0,0,1,0,4,1,632,56,8.86,287,45.41,15,2.37,238,37.66,21,3.32,10,10.0,10,10.0,13.42,8.84,0.0,20.1,100.0,0.0,189.0,36.0,35.0, 1281.61, 7263.07, 854.19, 984.98, 10383.86,1,1,1,0,1
Desert Hills High School,Gilbert,85296,0,0,0,1,4,1,264,19,7.2,102,38.64,34,12.88,96,36.36,11,4.17,10,10.0,10,10.0,4.09,5.46,17.16,32.5,82.53,0.0,303.0,6.0,0.0, 1386.01, 4591.62, 730.66, 4705.69, 11413.97,1,1,1,1,1
Desert Marigold School,Phoenix,85042,1,1,1,1,4,0,303,10,10.0,70,23.1,0,0.0,184,60.73,34,11.22,10,10.0,0,0.0,12.88,8.84,0.0,12.5,100.0,0.0,50.0,0.0,4.0, 126.97, 7873.51, 379.75, 2223.93, 10604.16,0,0,0,0,0
Desert Mountain High School,Scottsdale,85259,0,0,0,1,5,0,1880,60,3.19,176,9.36,10,10.0,1353,71.97,49,2.61,218,11.6,10,10.0,27.74,10.0,1.0,20.0,98.7,478.0,381.0,26.0,1.0, 75.39, 5688.42, 8.60, 320.21, 6092.62,0,0,0,0,0
Desert Vista High School,Phoenix,85048,0,0,0,1,5,0,2953,199,6.74,738,24.99,10,10.0,1544,52.29,209,7.08,197,6.67,10,10.0,28.25,10.0,1.34,20.0,99.11,561.0,454.0,29.0,0.0, 190.28, 5931.35, 37.65, 455.21, 6614.49,0,0,0,0,0
Dobson High School,Mesa,85202,0,0,0,1,4,0,2370,190,8.02,1251,52.78,145,6.12,622,26.25,74,3.12,54,2.28,34,1.44,12.71,9.81,3.95,17.3,97.74,788.0,1181.0,29.0,2.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Dr. Camille Casteel High School,Queen Creek,85142,0,0,1,1,5,0,3126,92,2.94,586,18.75,10,10.0,2193,70.15,159,5.09,74,2.37,10,10.0,19.61,10.0,1.25,17.2,99.68,295.0,1098.0,31.0,0.0, 202.13, 6274.55, 109.44, 553.77, 7139.89,1,1,1,1,1
Dysart High School,El Mirage,85335,0,0,1,1,5,1,1427,126,8.83,867,60.76,10,10.0,316,22.14,55,3.85,41,2.87,10,10.0,18.0,10.0,2.34,12.9,99.78,197.0,650.0,134.0,0.0, 910.29, 7502.56, 695.22, 1523.20, 10631.27,0,0,0,0,0
Eagleridge Enrichment Program,Mesa,85210,1,1,1,1,2,0,645,10,10.0,91,14.11,10,10.0,500,77.52,26,4.03,16,2.48,0,0.0,3.42,8.84,0.0,20.1,100.0,0.0,15.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
East Valley Academy,Mesa,85201,0,0,0,1,3,0,307,13,4.24,230,74.92,24,7.82,33,10.75,10,10.0,0,0.0,10,10.0,0.39,4.49,26.75,20.8,81.69,0.0,260.0,5.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
East Valley High School,Mesa,85207,0,0,0,1,4,1,156,10,10.0,81,51.92,10,10.0,49,31.41,11,7.05,10,10.0,0,0.0,3.67,8.28,20.41,27.1,98.81,0.0,0.0,2.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Estrella Foothills High School,Goodyear,85338,0,0,0,1,5,0,1397,68,4.87,643,46.03,10,10.0,596,42.66,60,4.29,13,0.93,10,10.0,20.19,10.0,1.35,19.0,99.7,87.0,218.0,12.0,6.0, 122.00, 4964.77, 4.64, 213.38, 5304.79,1,1,1,1,1
Estrella High School,Avondale,85323,0,0,0,1,4,1,112,18,16.07,78,69.64,10,10.0,10,10.0,10,10.0,10,10.0,10,10.0,1.17,4.3,24.9,32.8,82.01,0.0,245.0,15.0,1.0, 3331.00, 5078.73, 1700.92, 7133.75, 17244.41,1,1,1,1,1
Fountain Hills High School,Fountain Hills,85268,0,0,0,1,5,0,467,10,10.0,57,12.21,61,13.06,299,64.03,31,6.64,10,10.0,0,0.0,21.56,10.0,1.86,15.5,98.46,76.0,157.0,3.0,0.0, 553.33, 7068.73, 865.75, 2047.65, 10535.45,0,0,0,0,0
Franklin Junior High School,Mesa,85206,0,0,1,0,5,0,269,10,10.0,64,23.79,10,10.0,187,69.52,10,10.0,10,10.0,0,0.0,30.0,8.84,0.0,20.1,100.0,0.0,21.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Franklin Police and Fire High School,Phoenix,85007,0,0,0,1,5,1,321,10,10.0,301,93.77,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,17.76,10.0,0.0,20.0,99.68,23.0,40.0,2.0,0.0, 271.15, 10436.27, 140.73, 381.39, 11229.54,1,1,1,1,1
Fremont Junior High School,Mesa,85205,0,0,1,0,5,1,986,36,3.65,384,38.95,12,1.22,512,51.93,30,3.04,10,10.0,10,10.0,18.58,8.84,0.0,20.1,100.0,0.0,477.0,62.0,10.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Gateway Early College High School,Phoenix,85034,0,0,0,1,5,1,333,55,16.52,264,79.28,10,10.0,10,10.0,10,10.0,10,10.0,10,10.0,15.88,10.0,0.29,19.2,100.0,18.0,42.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Gila Bend High School,Gila Bend,85337,0,0,0,1,1,1,156,10,10.0,105,67.31,40,25.64,10,10.0,10,10.0,0,0.0,0,0.0,3.86,7.42,5.26,0.0,95.95,0.0,106.0,1.0,4.0, 975.71, 4800.69, 129.53, 110.77, 6016.69,0,0,0,0,0
Gilbert High School,Gilbert,85234,0,0,1,1,4,0,2350,90,3.83,733,31.19,10,10.0,1262,53.7,136,5.79,87,3.7,10,10.0,27.87,10.0,2.56,20.0,98.02,486.0,932.0,13.0,2.0, 185.20, 6509.50, 21.29, 247.04, 6963.04,1,1,1,1,1
Girls Leadership Academy of Arizona,Phoenix,85013,0,0,0,1,3,1,74,10,10.0,57,77.03,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,7.25,10.0,9.17,16.0,98.53,0.0,29.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Glendale High School,Glendale,85301,0,0,0,1,4,1,1816,167,9.2,1375,75.72,41,2.26,156,8.59,10,10.0,41,2.26,10,10.0,15.05,10.0,2.11,19.9,98.64,255.0,1312.0,55.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Glenview College Preparatory High School,Phoenix,85020,0,0,0,1,5,1,523,25,4.78,457,87.38,10,10.0,18,3.44,11,2.1,10,10.0,10,10.0,21.34,10.0,0.84,20.0,100.0,0.0,406.0,0.0,0.0, 1257.39, 3476.52, 809.04, 4576.44, 10119.39,1,1,1,1,1
Great Hearts Academies - Anthem Prep,Anthem,85086,1,1,1,1,5,0,1029,10,10.0,157,15.26,10,10.0,688,66.86,80,7.78,86,8.36,0,0.0,28.19,10.0,1.13,17.0,99.12,0.0,116.0,1.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
